analysis_id,483n9283b11q87o
parameter_name,Percentage center time
mouse_strain,129SV
gene_symbol,Nipal3
mouse_life_stage,Early adult
pvalue,0.6287661
gene_accession_id,MGI:1921802
parameter_id,IMPC_OFD_022_001
