analysis_id,d2782929289v182
parameter_id,IMPC_FEA_106_001
mouse_life_stage,Early adult
parameter_name,Difference in Cue Tone and Cue Baseline % Freezing
gene_accession_id,MGI:1915033
mouse_strain,C57BL
pvalue,0.2659251
gene_symbol,Ahctf1
