gene_symbol,Ahctf1
mouse_strain,C57BL
parameter_name,Periphery - Permanence Time
mouse_life_stage,Early adult
analysis_id,ffi401a10w7iajs
pvalue,0.1482653
gene_accession_id,MGI:1915033
parameter_id,M-G-P_007_001_008
