gene_symbol,Ahctf1
gene_accession_id,MGI:1915033
parameter_name,HDL-cholesterol
mouse_life_stage,Early adult
mouse_strain,C57BL
parameter_id,HMGULA_CBC_016_001
pvalue,0.9641942
analysis_id,9mn3t2xp06ic2p2
