parameter_name,Hindlimb digit - size
pvalue,0.5502421
parameter_id,IMPC_CSD_047_001
gene_symbol,Opn3
gene_accession_id,MGI:1338022
mouse_strain,C57BL
analysis_id,k66924x90m8u221
mouse_life_stage,Early adult
