parameter_name,Upper teeth appearance
parameter_id,IMPC_CSD_069_001
pvalue,0.08265409
gene_symbol,Rgs20
mouse_strain,C57BL
analysis_id,uf4i6rx814y7184
gene_accession_id,MGI:1929866
mouse_life_stage,Early adult
