analysis_id,u6gn7abd35g5961
gene_accession_id,MGI:2446186
mouse_strain,C57BL
parameter_name,Center permanence time
mouse_life_stage,E18.5
pvalue,0.8749071
gene_symbol,Lpgat1
parameter_id,JAX_OFD_016_001
