gene_symbol,Kdm5b
analysis_id,2b4k56773pwgnvs
pvalue,0.5550119
parameter_name,KLRG1+ gd T cells - % of gd T cells
parameter_id,MGP_IMM_022_001
gene_accession_id,MGI:1922855
mouse_strain,C57BL
mouse_life_stage,Early adult
