analysis_id,huk3i2r502yzpw9
gene_symbol,Rgs20
parameter_name,CD103+ CD11b-low cDC - % of CD45+
pvalue,0.1723681
gene_accession_id,MGI:1929866
parameter_id,MGP_IMM_131_001
mouse_life_stage,Early adult
mouse_strain,C57BL
