parameter_name,Fat/Body weight
analysis_id,qr1y56ek53qh4ul
parameter_id,JAXLA_DXA_009_001
mouse_strain,C57BL
pvalue,0.3053889
mouse_life_stage,Early adult
gene_accession_id,MGI:3522699
gene_symbol,Trpa1
