analysis_id,5pm0em0h28sc217
gene_symbol,WARS2
gene_accession_id,MGI:1917810
parameter_id,HMGULA_CBC_005_001
parameter_name,Creatinine
mouse_strain,C57BL
mouse_life_stage,Early adult
pvalue,0.08893548
