parameter_name,Glucose
mouse_strain,C57BL
mouse_life_stage,Early adult
gene_symbol,Psmd14
analysis_id,4d7204h7bl5e3sb
pvalue,0.2360669
gene_accession_id,MGI:1913284
parameter_id,HMGULA_CBC_018_001
