parameter_name,Right total retinal thickness
mouse_life_stage,Early adult
gene_accession_id,MGI:1913506
gene_symbol,Ssr2
analysis_id,bdl7c82trfo729u
parameter_id,IMPC_EYE_062_001
pvalue,0.4924008
mouse_strain,C57BL
