gene_symbol,Bach2
analysis_id,169p544a7i551ms
pvalue,0.5589062
parameter_id,MGP_BMI_019_001
mouse_life_stage,Early adult
gene_accession_id,MGI:894679
parameter_name,T cells - % of CD45+
mouse_strain,C57BL
