parameter_name,110dB startle magnitude
gene_accession_id,MGI:104848
gene_symbol,Inpp1
parameter_id,ESLIM_011_001_006
mouse_life_stage,Early adult
analysis_id,b1ubeq9011q5qql
mouse_strain,129SV
pvalue,0.4817611
