gene_symbol,Ap5s1
parameter_id,IMPC_ECH_005_001
mouse_life_stage,Early adult
analysis_id,r6a2s62k61574x7
gene_accession_id,MGI:1916846
mouse_strain,C57BL
parameter_name,Fractional Shortening
pvalue,0.9911911
