gene_symbol,Lcn2
parameter_name,Transitional 1 B cells - % of CD45+
analysis_id,3r67o329tt70714
pvalue,0.1684799
mouse_strain,C57BL
parameter_id,MGP_IMM_110_001
gene_accession_id,MGI:96757
mouse_life_stage,Early adult
