gene_symbol,Kifap3
pvalue,0.7810053
parameter_name,Total CD4+ T cells - % of ab T cells
mouse_life_stage,Early adult
parameter_id,MGP_IMM_004_001
analysis_id,3iwg48osy9j821v
mouse_strain,C57BL
gene_accession_id,MGI:107566
