analysis_id,m5i40gy57c92j23
mouse_life_stage,Early adult
parameter_id,HMGULA_DYS_024_001
mouse_strain,C57BL
pvalue,0.5305919
parameter_name,Vibrissae - appearance
gene_accession_id,MGI:2673000
gene_symbol,Trim46
