parameter_name,Hindlimb nail - number
pvalue,0.557026
mouse_life_stage,E9.5
mouse_strain,C57BL
analysis_id,21xv0eu1980ie1r
gene_symbol,Slc39a10
gene_accession_id,MGI:1914515
parameter_id,IMPC_CSD_051_002
