gene_symbol,Ola1
parameter_id,IMPC_EYE_092_002
analysis_id,l4z5btv7msjf70j
gene_accession_id,MGI:1914309
pvalue,0.5584041
mouse_life_stage,Early adult
parameter_name,Retina (combined)
mouse_strain,C57BL
