analysis_id,20gow748k421s1j
mouse_strain,C57BL
parameter_id,JAXLA_EYE_092_001
parameter_name,Retina (combined)
pvalue,0.4290191
gene_accession_id,MGI:1914050
gene_symbol,Trp53rkb
mouse_life_stage,Early adult
