parameter_id,TCPLA_XRY_033_001
parameter_name,Tibia length
mouse_life_stage,Early adult
pvalue,0.09244857
analysis_id,b589ro1439h7ut2
gene_accession_id,MGI:1920344
gene_symbol,Sgip1
mouse_strain,C57BL
