analysis_id,u597h12w3mh397x
mouse_life_stage,Early adult
gene_symbol,Bcs1l
parameter_name,Periphery resting time
gene_accession_id,MGI:1914071
pvalue,0.9252597
mouse_strain,C57BL
parameter_id,HRWLLA_OFD_011_001
