gene_symbol,Arpc5l
pvalue,0.1584983
analysis_id,g2ba5jd6x1m04q3
gene_accession_id,MGI:1921442
parameter_name,Lens Opacity
parameter_id,IMPC_EYE_017_001
mouse_life_stage,Early adult
mouse_strain,C57BL
