mouse_strain,B6J
pvalue,0.3961768
mouse_life_stage,Early adult
parameter_id,IMPC_GEL_063_001
gene_accession_id,MGI:1346344
parameter_name,Delayed embryonic development
gene_symbol,Nr0b2
analysis_id,suxd0jm2t5qsj3x
