analysis_id,1ra333y216zf6b6
parameter_id,IMPC_EYE_024_001
pvalue,0.2931714
gene_symbol,Mecom
gene_accession_id,MGI:95457
parameter_name,Retinal Blood Vessels
mouse_life_stage,Early adult
mouse_strain,C3H
