parameter_name,Eye
parameter_id,M-G-P_014_001_001
mouse_life_stage,Early adult
mouse_strain,C57BL
gene_symbol,Hrnr
pvalue,0.6509434
analysis_id,i9i3p2840p48wy8
gene_accession_id,MGI:3046938
