analysis_id,0kj7b726255456d
parameter_id,IMPC_OFD_017_001
mouse_strain,C52BL
gene_symbol,Ap5s1
gene_accession_id,MGI:1916846
parameter_name,Center average speed
mouse_life_stage,Early adult
pvalue,0.2094977
