analysis_id,9i4q6wx46r7335b
mouse_life_stage,Early adult
mouse_strain,C59BL
parameter_name,Pericardium Morphology
pvalue,0.9179556
gene_accession_id,MGI:1923029
parameter_id,IMPC_GEL_006_001
gene_symbol,Dnaaf9
