parameter_id,IMPC_GPP_004_001
gene_accession_id,MGI:1338022
pvalue,0.2694228
parameter_name,Placenta Size
mouse_life_stage,Early adult
gene_symbol,Opn3
analysis_id,0v3r8930re5v457
mouse_strain,C57BL
