analysis_id,e32w8yul552c4je
pvalue,1.11668e-07
gene_symbol,Rab3gap2
parameter_id,JAX_OFD_010_001
mouse_strain,C57BL
gene_accession_id,MGI:1916043
mouse_life_stage,Early adult
parameter_name,Periphery distance travelled
