parameter_name,Eosinophil number
pvalue,0.8361107
parameter_id,MGP_PBI_040_001
gene_symbol,Dmap1
mouse_life_stage,Early adult
gene_accession_id,MGI:1913483
mouse_strain,C57BL
analysis_id,2k604rq52v38phc
