analysis_id,b04673v6ysj2r56
gene_symbol,Fgb
mouse_strain,C57BL
pvalue,0.2137032
parameter_id,IMPC_HEM_004_001
gene_accession_id,MGI:99501
parameter_name,Hematocrit
mouse_life_stage,E12.5
