gene_symbol,Cntfr
parameter_name,Total food intake
mouse_strain,129SV
gene_accession_id,MGI:99605
pvalue,0.721462
parameter_id,IMPC_CAL_008_001
analysis_id,86k0ucx22219blc
mouse_life_stage,Early adult
