parameter_name,Embryo Size
gene_accession_id,MGI:1916222
mouse_life_stage,Early adult
parameter_id,IMPC_GEL_032_001
gene_symbol,Tatdn3
mouse_strain,C57BL
analysis_id,34024i8704a9dne
pvalue,0.5634054
