parameter_name,Eyelid morphology
mouse_strain,C57BL
gene_accession_id,MGI:95576
pvalue,0.291953
parameter_id,IMPC_EYE_004_001
analysis_id,45z6019s9oajzf4
mouse_life_stage,Early adult
gene_symbol,Fpgs
