analysis_id,v3ip40dob3z7g6z
parameter_name,HRV
parameter_id,IMPC_ECG_010_001
mouse_strain,C57BL
mouse_life_stage,Early adult
gene_symbol,Arpc2
gene_accession_id,MGI:1923959
pvalue,0.3488381
