analysis_id,596bl505givhal1
mouse_strain,C57BL
parameter_id,MGP_PBI_033_001
gene_symbol,AU040320
mouse_life_stage,Middle aged adult
pvalue,0.1076284
parameter_name,CD8+ KLRG1+ alpha beta T cell number
gene_accession_id,MGI:2140475
