parameter_id,IMPC_DXA_007_001
mouse_life_stage,Early adult
gene_symbol,Opn3
mouse_strain,C57BL
analysis_id,y2mm0y230weo4k3
pvalue,0.6017982
gene_accession_id,MGI:1338022
parameter_name,BMC/Body weight
