analysis_id,1qcl8qgu063074z
mouse_life_stage,Early adult
gene_symbol,Gfi1b
pvalue,0.6419838
gene_accession_id,MGI:1276578
mouse_strain,C57BL
parameter_name,Periphery resting time
parameter_id,IMPC_OFD_011_001
