parameter_id,CCP_LFO_001_001
parameter_name,Weight
gene_accession_id,MGI:1914583
pvalue,0.9555584
mouse_life_stage,Early adult
gene_symbol,Stk35
analysis_id,9h0ljq82w562f32
mouse_strain,C57BL
