analysis_id,9871279pj034gr8
parameter_name,Breath rate during sleep standard deviation
mouse_life_stage,Early adult
gene_symbol,Arpc2
pvalue,0.7668071
mouse_strain,129SV
gene_accession_id,MGI:1923959
parameter_id,JAX_SLW_014_001
