gene_symbol,Ift74
analysis_id,n6c5r0667w00uqc
pvalue,0.9370784
parameter_name,B cell percentage
mouse_life_stage,Early adult
gene_accession_id,MGI:1914944
mouse_strain,C57BL
parameter_id,MGP_PBI_014_001
