gene_symbol,Extl1
mouse_strain,C57BL
parameter_name,% Pre-pulse inhibition - PPI4
gene_accession_id,MGI:1888742
mouse_life_stage,Early adult
analysis_id,yhmh97h4h5788d6
pvalue,0.7203306
parameter_id,IMPC_ACS_036_001
