gene_symbol,Rufy4
pvalue,0.05673935
parameter_name,CD8 CD44-CD62L+ T cells
parameter_id,IMPC_IMM_034_001
mouse_strain,C57BL
gene_accession_id,MGI:3588214
mouse_life_stage,Early adult
analysis_id,s0236u2t4705pmw
