gene_symbol,Amigo1
parameter_id,JAX_OFD_021_001
pvalue,1.220104e-10
mouse_strain,C57BL
parameter_name,Number of rears - total
gene_accession_id,MGI:2653612
mouse_life_stage,Early adult
analysis_id,fw41y47d4nu69q2
