gene_symbol,Sprr1b
analysis_id,q89eczxa3k51m22
pvalue,0.2416445
gene_accession_id,MGI:106659
mouse_life_stage,Early adult
parameter_name,110dB startle magnitude
mouse_strain,C57BL
parameter_id,ESLIM_011_001_006
