parameter_name,Center average speed
mouse_strain,C57BL
analysis_id,39q6n162b56rya1
gene_symbol,Ppm1j
gene_accession_id,MGI:1919137
pvalue,0.9706091
parameter_id,IMPC_OFD_017_001
mouse_life_stage,Early adult
