gene_symbol,Extl1
mouse_life_stage,Early adult
parameter_id,IMPC_GEO_011_001
parameter_name,Blood Vessel Morphology
pvalue,0.8045831
gene_accession_id,MGI:1888742
analysis_id,5347s92i3lgq95e
mouse_strain,C57BL
