parameter_name,Periphery resting time
mouse_life_stage,Early adult
analysis_id,8v2dv946gw518b3
gene_accession_id,MGI:95835
mouse_strain,C57BL
parameter_id,IMPC_OFD_011_001
pvalue,0.9822993
gene_symbol,Hspa5
