gene_symbol,Tnfsf10
pvalue,0.3307473
parameter_name,Mean right eye lens density
parameter_id,IMPC_EYE_059_001
mouse_life_stage,Early adult
gene_accession_id,MGI:107414
mouse_strain,C57BL
analysis_id,6fl4wo5335qoadh
