analysis_id,73zff11718z9uz2
mouse_life_stage,Early adult
gene_symbol,Dhdds
parameter_name,DN CD25- NKT cells
parameter_id,IMPC_IMM_025_001
gene_accession_id,MGI:1914672
mouse_strain,C57BL
pvalue,0.9767326
