parameter_name,Neural tube closure
mouse_strain,C57BL
parameter_id,IMPC_GEL_027_001
pvalue,0.1263973
analysis_id,usz25q0yu13df2w
gene_accession_id,MGI:1915472
gene_symbol,Tubb4b
mouse_life_stage,Early adult
