gene_symbol,Hspa5
parameter_name,Shape of ribcage
mouse_strain,C57BL
mouse_life_stage,E9.5
gene_accession_id,MGI:95835
parameter_id,IMPC_XRY_059_001
analysis_id,220259wstk8n4z8
pvalue,0.7391723
