analysis_id,mu4gui0g12s3hrr
parameter_id,HMGULA_CBC_009_001
gene_symbol,Fgb
pvalue,0.9827376
mouse_life_stage,E12.5
mouse_strain,C57BL
gene_accession_id,MGI:99501
parameter_name,Calcium
