analysis_id,fl0b7ed10c7cj7n
gene_symbol,Frmpd1
mouse_strain,C57BL
parameter_name,Caudal processes
parameter_id,IMPC_XRY_067_001
gene_accession_id,MGI:2446274
pvalue,0.6055976
mouse_life_stage,Middle aged adult
