parameter_name,Corneal opacity
mouse_strain,C57BL
analysis_id,t0dnq6550r320h5
mouse_life_stage,Early adult
gene_symbol,Slx4ip
parameter_id,IMPC_EYE_008_001
gene_accession_id,MGI:1921493
pvalue,0.5841028
