gene_symbol,Zc2hc1a
parameter_name,Narrow eye opening
parameter_id,IMPC_EYE_006_001
gene_accession_id,MGI:1914556
mouse_life_stage,Early adult
pvalue,0.4429383
analysis_id,043g9me6aeb6q16
mouse_strain,C57BL
