gene_symbol,Cdin1
parameter_name,T cells - % of CD45+
mouse_life_stage,Early adult
gene_accession_id,MGI:3026886
parameter_id,MGP_BMI_019_001
pvalue,0.7027997
mouse_strain,C57BL
analysis_id,sfs1e78j3878gc5
