parameter_name,Aspartate aminotransferase
parameter_id,IMPC_CBC_012_001
mouse_strain,C57BL
analysis_id,v213qt8ksy88slp
pvalue,0.520694
gene_accession_id,MGI:1915472
mouse_life_stage,Early adult
gene_symbol,Tubb4b
