analysis_id,qsit0f8xporg070
gene_symbol,Slc39a10
pvalue,0.06297333
gene_accession_id,MGI:1914515
mouse_strain,C57BL
mouse_life_stage,E9.5
parameter_name,HR
parameter_id,JAXLA_ECG_002_001
