gene_symbol,Pld1
parameter_name,End-Systolic Diameter
mouse_strain,C57BL
gene_accession_id,MGI:109585
parameter_id,IMPC_ECH_001_001
analysis_id,471w4y697kwnl9i
pvalue,0.2260917
mouse_life_stage,Early adult
