mouse_life_stage,Middle aged adult
pvalue,0.4071343
mouse_strain,C57BL
parameter_id,IMPC_OFD_013_001
gene_accession_id,MGI:1336200
analysis_id,95759tvh5u69j19
parameter_name,Periphery average speed
gene_symbol,Hpca
